RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4020,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3010,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2991,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2312,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2725,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4673,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3771,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4959,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3875,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3070,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3678,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2855,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3683,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3354,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2321,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2445,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3938,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3601,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3152,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4704,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2359,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4090,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3289,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3551,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3878,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2595,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3297,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2212,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2232,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3679,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2040,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2771,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4272,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2343,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
