RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3197,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4254,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2864,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2164,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3274,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3308,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4794,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
24153,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3844,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4207,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3524,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
22779,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3278,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2032,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1834,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1903,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
