RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2710,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
6558,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2415,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2694,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2797,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3807,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2671,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
4614,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2182,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2310,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2047,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2015,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2502,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3263,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
1830,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2022,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2711,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2358,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2734,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
