RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1852,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1678,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1623,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2457,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1701,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2275,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1858,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3001,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1590,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1942,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1452,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
5239,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1614,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1997,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1837,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1616,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3575,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4985,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2702,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2185,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1838,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4130,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2133,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1977,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2004,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1556,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1965,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2045,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1997,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1680,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3598,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2511,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2286,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1888,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1470,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2018,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1501,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1439,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1977,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1531,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2217,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2261,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1947,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2860,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1587,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1928,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2320,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2085,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1855,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2966,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2436,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2328,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1853,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2676,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
file,isFamiliar,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_M_Russell_Howard(10).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_nigel_farage(5).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_Tony_Blair.png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_F_Jennifer_Saunders.png,0,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_F_nicola_sturge(10).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_M_Michael_McIntyr(8).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_Gordon_Brown(19).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_keir_starmer(6).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_M_Ewan_McGregor(3).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_F_Dawn_Roma(4).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_F_Theresa_May(3).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_M_Simon_Pegg(8).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_david_camer(14).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_F_Sarah_Millican(1).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_M_Jimmy_Carr(5).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_Sajid_Javid(4).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_jeremy_corbyn(2).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_M_Peter_Kay(3).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
E_F_Julie_Walters(20).png,0,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
P_M_Michael_Gove(9).png,1,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
age: 28,gender: Male,handedness: right,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
