RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1945,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4115,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4076,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2273,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3911,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1959,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5630,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2596,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2121,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2880,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2284,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2457,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2252,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3364,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2115,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2193,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2699,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2679,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2292,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2080,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2038,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2192,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2212,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1974,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2457,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2460,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2175,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1946,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2108,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2035,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2224,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2161,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3375,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2705,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3331,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2567,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1880,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3462,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
