RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
12316,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9847,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4315,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6864,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5851,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8463,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6998,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9812,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
69258,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9871,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5003,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
12632,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8859,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4650,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
