RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1208,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
11275,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1085,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1050,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1122,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1470,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
910,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1444,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1836,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
626,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1542,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
628,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
953,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1064,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1004,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1552,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1607,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1346,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1265,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1225,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
660,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1838,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1202,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
931,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1790,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
712,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1002,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1194,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
872,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1269,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1040,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1489,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1455,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1820,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2262,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1038,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1252,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
851,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1748,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1451,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1045,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2309,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2283,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1081,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2438,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1982,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1315,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1433,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1293,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
