RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4591,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3223,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1927,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2486,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3012,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2218,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3114,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3062,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1609,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1452,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2665,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1676,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2027,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2597,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2096,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2108,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1884,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2427,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2534,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1427,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2714,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1652,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
8218,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1757,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1552,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2132,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1167,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1852,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2712,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1529,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1514,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1166,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2251,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1357,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1535,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1284,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1992,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1573,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2421,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1743,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1756,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1608,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1468,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3852,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1550,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1661,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3275,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3107,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1671,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2920,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1690,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1433,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
file,isFamiliar,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_Tony_Blair.png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_M_Ewan_McGregor(3).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_Gordon_Brown(19).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_M_Peter_Kay(3).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_Sajid_Javid(4).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_M_Russell_Howard(10).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_F_Theresa_May(3).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_F_Sarah_Millican(1).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_M_Jimmy_Carr(5).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_F_Jennifer_Saunders.png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_david_camer(14).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_F_nicola_sturge(10).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_F_Dawn_Roma(4).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_M_Michael_McIntyr(8).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_jeremy_corbyn(2).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_F_Julie_Walters(20).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_Michael_Gove(9).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
E_M_Simon_Pegg(8).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_nigel_farage(5).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
P_M_keir_starmer(6).png,1,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
age: 32,gender: Male,handedness: right,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
