RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3624,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4328,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3566,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3173,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2307,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3168,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4088,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2616,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2094,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2629,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
6214,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
