RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2102,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1811,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1920,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2732,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2133,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
11219,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2008,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1851,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2055,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2765,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3516,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2368,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3831,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2933,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3959,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3239,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2871,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1835,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2369,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3668,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3052,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2122,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2157,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2399,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2244,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3408,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1743,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2367,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4420,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2024,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3166,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2023,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1994,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1758,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
6105,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1942,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1600,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4265,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
