RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2248,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3534,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2870,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4057,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3201,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2593,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2178,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3104,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
17676,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2781,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2346,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4206,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2639,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4101,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4603,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3426,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3397,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2193,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2463,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2410,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
