RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3458,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2786,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2545,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
12465,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2937,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2205,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2236,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2208,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1933,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3276,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4482,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3647,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2817,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3275,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3480,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2363,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2286,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3291,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3137,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3104,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2478,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2432,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2966,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2591,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2369,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3105,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2575,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2344,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2652,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2485,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2247,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2167,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2119,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2180,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1866,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1744,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3388,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
