RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3110,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4318,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2753,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2196,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2826,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2575,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
7038,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3513,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4529,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6625,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3067,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
10244,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4572,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4561,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4403,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
