RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2533,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3299,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2144,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2449,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
5338,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2306,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3194,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2705,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3700,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2531,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3088,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2807,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2614,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
