"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"1898","P_F_staiv.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"P_F_staiv.png P_M_buji.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2148","E_F_ilanit.png","E_F_shiri.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",2,"E_F_ilanit.png E_F_shiri.png",-1.62350330955462,"25","Female","right","5e36f7aacb3c09689999f612"
"1731","E_F_ninet.png","E_M_liorA.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_ninet.png E_M_liorA.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1994","E_F_ilanit.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"E_F_ilanit.png E_M_asi.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2127","P_F_michaeli.png","P_F_shaked.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",4,"P_F_michaeli.png P_F_shaked.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1712","P_F_shaked.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",3,"P_F_shaked.png P_F_staiv.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1898","E_F_rotem_sela.png","E_F_shiri.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",2,"E_F_rotem_sela.png E_F_shiri.png",-1.62350330955462,"25","Female","right","5e36f7aacb3c09689999f612"
"3845","E_F_galit_gutman.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_galit_gutman.png P_M_benet.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"2276","E_M_ido.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_ido.png P_M_benet.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1960","P_F_shaked.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"P_F_shaked.png P_M_saar.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2910","P_F_regev.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",3,"P_F_regev.png P_F_staiv.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2396","P_M_gantz.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"P_M_gantz.png P_M_buji.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1943","E_M_yuda.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",3,"E_M_yuda.png P_F_regev.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
