RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3508,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1766,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2447,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2131,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1605,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3185,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1793,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2360,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2861,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1960,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2916,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1745,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1728,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3227,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3047,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1951,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1979,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3692,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2648,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1582,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1630,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3098,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2953,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2155,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3040,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1559,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1726,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1858,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3832,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1917,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3527,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1567,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3898,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3629,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2856,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2405,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1956,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
