RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3587,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8183,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3672,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3182,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6423,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4165,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4119,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3286,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5332,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5568,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
7250,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5898,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5637,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4020,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4300,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
