RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2875,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3330,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5388,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4523,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
8839,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5063,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4553,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3291,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4971,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3258,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3300,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2860,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3970,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2725,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3037,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4862,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3608,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2942,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4775,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3251,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3324,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3651,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4330,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3196,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3648,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
10648,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2571,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4047,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2418,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2983,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3020,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3732,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2920,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4422,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2529,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4227,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4646,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3493,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3581,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
7052,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3299,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
