RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1006,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2214,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2600,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
5258,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1445,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3497,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2427,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1016,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1506,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2552,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4961,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
6031,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1345,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1473,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1797,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1477,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1489,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2661,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1429,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2078,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4242,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2616,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2337,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1969,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
7452,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2386,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2586,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3325,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2971,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3207,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4214,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1409,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1701,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
