RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5794,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6393,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6341,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7600,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3263,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4387,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3690,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6411,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5221,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7146,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3461,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5553,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3325,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
11585,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3969,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6167,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6041,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5163,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
12745,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7667,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6405,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5891,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4861,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4085,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6403,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7136,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7019,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
11082,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3341,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4797,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5487,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
12012,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6044,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3615,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4101,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6177,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7744,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3855,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
