RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3046,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3132,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3966,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2687,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2401,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2988,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2827,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4155,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3499,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2715,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2713,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2743,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3910,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3288,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2391,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3168,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3291,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2408,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
11600,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
9239,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
8171,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2759,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
5933,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
6004,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2857,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
7879,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
5342,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
8717,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2605,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3112,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
16590,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
11282,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4073,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2755,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2743,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3082,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2868,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2491,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4092,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2832,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3674,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2652,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2327,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2903,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3845,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
file,isFamiliar,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
