RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2880,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3662,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2787,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3805,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
31753,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3762,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5011,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2915,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3441,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2718,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
