RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4822,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2735,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2649,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2883,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4217,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3245,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3590,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3093,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2623,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2813,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3086,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2595,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3000,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5358,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3043,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2675,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3027,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2966,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2722,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2819,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3347,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2612,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4937,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2663,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2891,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3119,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2755,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3408,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3840,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2834,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
