RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2154,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1831,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2461,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1575,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2746,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1552,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2034,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1731,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3374,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1604,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2046,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2018,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2452,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2208,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3119,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1489,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1707,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
