RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
9337,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
8533,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2169,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4433,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4721,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2996,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2327,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2633,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2281,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2588,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1883,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3028,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2801,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1985,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3093,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4286,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
