RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3047,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4447,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3978,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3088,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3305,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2926,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3029,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3125,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3036,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3991,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2747,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3956,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3940,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3146,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2186,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4171,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2227,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4202,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
7342,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2812,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2741,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
12169,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
1861,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2257,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2454,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2558,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
