RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5290,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
19855,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5705,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
33808,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3397,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3350,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3442,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
11720,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6177,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
7820,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6010,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
9334,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3676,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4235,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2637,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
