RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2052,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2511,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1370,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1231,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1660,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
5351,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
9119,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
3132,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1659,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2464,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1643,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1468,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
818,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
