RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5076,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3921,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4440,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6121,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
16381,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
9119,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
31688,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5571,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
22220,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2738,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
48336,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3876,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3919,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3343,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3481,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3555,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4884,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5701,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
29037,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4633,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
28973,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
21766,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3739,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
15974,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
19116,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4467,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
7701,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
13588,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3082,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4171,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
11203,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5391,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2888,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2208,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2469,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
1744,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2498,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3205,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3190,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3940,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
15257,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4484,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2390,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
file,isFamiliar,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_benet.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_yanai.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_HassonShaher.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_shaked.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_shani.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
E_guri2-250x310.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_liberman2.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_zamir.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_rita.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_Ivri2.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
E_katorza2-250x341.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_shimi.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_ornaBanai.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_smootch.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_yehimovitz.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_peretz.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_mushonov.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Entertainment_har_lev.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_michaeliM.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
Politics_lapid.jpg,0,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
age: 34,gender: Female,handedness: right,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
