RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3737,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9060,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
11921,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
574447,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6139,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
49026,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7162,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4071,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4869,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6370,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9147,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4277,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6880,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5720,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4831,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6878,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6564,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5480,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6429,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5232,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4381,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5741,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8198,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5803,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5509,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
12914,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
10303,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
11548,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7522,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6675,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6906,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9409,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7129,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
12002,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6462,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5244,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4585,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6736,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3702,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5008,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6003,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4778,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4715,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5553,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5881,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
file,isFamiliar,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_F_angelina_jolie.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_F_tehresy_may.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_M_bill_clinton.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_F_keira_knightley.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_F_nicola_sturgeon.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_F_jennifer_aniston.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_F_Judi_Dench.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_M_nicolas_cage.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_M_tom_hankes.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_F_Kate_Winslet.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_M_michael_caine.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_M_Hugh_Grant.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_M_robert_de_niro.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_M_david_cameron.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
E_F_sandra_bullock.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_M_george_Wbush.png,0,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_F_hillary_clinton.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_M_donald_trump.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_M_boris_johnson.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
P_M_Tony_Blair.png,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
age: 32,gender: Female,handedness: right,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
