RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2632,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3649,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2943,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2894,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3594,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3429,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4396,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4713,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
7674,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2935,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2811,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
