RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2135,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2559,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2512,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2111,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3584,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1599,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1903,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2319,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2055,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2024,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3775,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3215,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1591,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2007,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1479,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2543,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1599,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2831,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3616,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2096,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2048,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2839,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3775,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2351,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1935,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2263,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
