RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7211,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
18583,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9562,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7628,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9449,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
14978,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9196,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
10246,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
14764,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6529,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
18063,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
4661,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
19913,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8165,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
18879,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7995,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
11998,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7384,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6097,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
13233,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6465,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8949,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
4928,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7215,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7316,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6911,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
15629,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
4164,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
5030,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6165,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7530,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
5261,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
