RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1938,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2232,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3040,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3604,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2674,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2839,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2835,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2386,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2235,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3045,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2699,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
4009,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2158,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2045,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3693,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3018,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3987,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3704,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2557,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2693,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3507,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3033,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2041,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2681,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3829,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2077,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
5110,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2065,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1912,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2369,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
19195,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2376,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2231,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2478,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2266,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2707,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2074,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2382,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
