RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3151,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5464,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3212,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1948,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2145,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2332,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1641,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2628,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4210,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2373,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4194,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3941,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3488,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3965,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2163,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2389,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5549,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2146,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2008,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3880,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2579,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1719,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2371,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4528,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3229,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4918,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1709,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2146,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1631,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
