RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3377,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2240,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2580,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3002,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3359,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
8065,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
1835,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3059,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
7540,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
1941,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
