RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2407,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2962,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2247,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2295,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2185,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3204,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4360,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2250,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4778,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3872,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3985,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2142,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4364,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3073,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3302,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2296,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2838,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1921,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1971,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1955,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3347,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3894,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2348,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2397,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1617,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1866,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2832,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2703,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2336,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3710,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1922,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
6144,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2864,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3607,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2202,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2556,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4460,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2223,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3119,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1576,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2828,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1758,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2189,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
1874,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2375,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2446,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2927,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2346,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3635,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3866,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3597,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3136,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2392,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
