RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3027,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3187,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2355,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2992,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2432,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2746,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2544,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2556,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2281,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2599,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2503,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3827,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2179,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2523,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3100,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2456,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3319,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2195,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2214,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
