RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2086,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2818,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1898,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2595,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2306,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2375,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
file,isFamiliar,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_M_Jimmy_Carr.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_M_Simon_Pegg.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_nigel_farage.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_M_Michael_McIntyr.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_F_Jennifer_Saunders.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_F_Sarah_Millican.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_keir_starmer.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_F_nicola_sturge.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_M_Ewan_McGregor.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_Sajid_Javid.png,0,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_david_camer.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_F_Julie_Walters.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_Michael_Gove.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_F_Dawn_Roma_French.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_M_Peter_Kay.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
E_M_Russell_Howard.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_F_Theresa_May.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_jeremy_corbyn.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_Gordon_Brown.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
P_M_Tony_Blair.png,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
age: 29,gender: Female,handedness: right,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
