RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1718,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1971,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2327,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2476,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2197,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2993,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1665,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1326,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2137,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2956,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
6376,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2959,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
3291,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
3482,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
5200,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
4235,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
3416,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2155,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2127,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2919,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1575,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
