RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4835,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3393,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4457,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
13833,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
20253,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
19335,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
22479,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6255,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4537,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5336,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6274,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
10076,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
13375,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3853,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3335,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7034,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5875,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
13615,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
30038,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5152,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8141,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4514,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7214,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7973,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
14795,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
17638,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
10454,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
9514,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3840,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
16993,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3434,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3635,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5452,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4136,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5015,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
26655,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
