RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1177,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2195,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2078,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2034,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2622,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2670,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1510,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1317,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2302,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1998,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2535,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1694,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3035,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2807,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1972,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3023,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2463,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1745,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1497,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1335,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3525,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3450,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3744,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2702,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1732,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5474,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1895,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3644,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2103,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1780,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1602,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2571,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1546,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1906,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2502,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1566,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1986,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1250,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2234,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1882,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2775,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1426,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1586,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2487,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1699,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1702,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1766,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2122,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1291,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2896,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1878,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
file,isFamiliar,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_F_Sarah_Millican.png,0,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_F_nicola_sturge.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_M_Russell_Howard.png,0,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_M_Simon_Pegg.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_M_Jimmy_Carr.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_nigel_farage.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_Sajid_Javid.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_keir_starmer.png,0,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_jeremy_corbyn.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_Michael_Gove.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_F_Dawn_Roma_French.png,0,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_M_Peter_Kay.png,0,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_F_Theresa_May.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_david_camer.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_F_Jennifer_Saunders.png,0,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_M_Michael_McIntyr.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_M_Ewan_McGregor.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_Gordon_Brown.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
P_M_Tony_Blair.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
E_F_Julie_Walters.png,1,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
age: 32,gender: Female,handedness: right,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
