RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2980,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5794,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2867,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3611,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
6671,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2305,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3903,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2962,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3182,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2555,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
