RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2683,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2446,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2408,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2487,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2922,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4459,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2004,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2905,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1674,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1791,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1932,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2540,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2404,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2536,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2017,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2585,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2878,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
7660,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3585,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
