RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3690,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1736,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2007,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2888,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3181,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
38117,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2960,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2104,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2633,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2352,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
5668,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2360,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
6985,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
5473,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
