RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2637,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
27587,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5243,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4053,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
10063,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4572,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6476,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2731,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
8925,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4172,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
14941,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
