RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4982,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
7579,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4805,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3014,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4776,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5101,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3151,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5434,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3432,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3079,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5734,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3126,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4263,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4102,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5345,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3263,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3546,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3655,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4012,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4937,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2672,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3047,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5113,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4466,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4795,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5750,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5698,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4670,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4918,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3181,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3778,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4743,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4404,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4392,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2968,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3768,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2480,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2844,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2554,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3135,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5388,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5534,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
