RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1680,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3874,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1797,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2116,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2773,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
7572,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2094,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1858,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2262,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3090,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4613,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
