RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
4225,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2357,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1426,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1877,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1447,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2207,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1514,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1300,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1524,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1993,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1812,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1314,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2115,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1359,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2051,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2183,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2273,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1795,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1655,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2066,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1320,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2228,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2702,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1875,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2083,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1396,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2489,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2678,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1603,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2677,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1510,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1421,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1972,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1545,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1878,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2322,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1342,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1491,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1473,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1790,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1655,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1606,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1666,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1282,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1409,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1475,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2007,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1291,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
