RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3750,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3246,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2911,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2079,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3415,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3269,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1726,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2071,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3270,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2541,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3797,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1464,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2151,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
