RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3379,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2702,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2477,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3946,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2067,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3544,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1835,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2082,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
6826,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
6198,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
9675,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3090,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2128,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2210,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2432,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2195,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
19538,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4950,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1745,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
14510,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
9907,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2821,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4864,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3624,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1748,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3223,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4025,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
7263,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
5703,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2990,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2718,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1618,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1763,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3041,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2468,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1887,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1785,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1424,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
file,isFamiliar,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_zamir.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_benet.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_mushonov.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_liberman2.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_shani.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_Ivri2.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_yehimovitz.jpg,0,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
E_guri2-250x310.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_ornaBanai.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_smootch.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_peretz.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_lapid.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_HassonShaher.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_rita.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_shimi.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_michaeliM.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Politics_shaked.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_har_lev.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
E_katorza2-250x341.jpg,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
Entertainment_yanai.jpg,0,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
age: 24,gender: M,handedness: right,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
