RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2031,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1793,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
4637,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1956,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2384,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2092,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1449,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2368,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3636,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2805,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2705,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
4256,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3693,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1998,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2190,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
