RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1622,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2242,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2466,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1683,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1572,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2568,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2180,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2460,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3321,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2134,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4161,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2167,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1716,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2527,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2502,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3290,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2028,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1567,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1528,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2498,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2342,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2504,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2540,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2419,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
