RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2469,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3730,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2092,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3345,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
1960,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3275,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
4309,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3201,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
2672,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3530,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
3900,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ec24766fd704d00089a80af,"06/07/2022, 08:17:22"
