RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3422,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6568,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3256,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
11222,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6681,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3209,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4124,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3703,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4344,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4006,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3292,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5450,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3686,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5540,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3108,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2905,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4807,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
11118,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2580,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3480,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3296,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2918,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
7830,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2929,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
25196,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5814,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3338,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3688,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
