RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3838,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3444,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2724,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3234,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3263,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4517,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3389,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2192,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3166,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2621,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2927,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
7023,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4829,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3408,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4964,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
13590,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2704,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4320,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
7043,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4518,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2744,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3991,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2527,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
