RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
62889,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2722,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1681,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1882,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3162,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2233,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
75275,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2562,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
7873,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1858,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1727,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2290,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
5273,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2576,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
27049,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
1659,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
