RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1844,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3343,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
5645,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
5027,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
4280,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
6279,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
5401,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3841,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
10528,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
11928,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2511,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2794,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1865,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2114,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2111,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2677,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3198,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1864,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2498,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2982,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2062,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2693,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2261,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1627,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1743,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2531,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2232,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3098,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1532,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1881,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2015,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2649,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2315,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2882,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1799,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1583,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1563,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2281,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2448,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2531,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3348,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2199,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2761,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1694,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2299,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2132,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
