RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6662,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2881,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
5821,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3752,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2713,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4262,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3231,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
16481,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3241,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3462,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3411,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3911,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
5321,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3351,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3470,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3351,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3151,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
12050,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3366,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3391,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
