RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3059,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3235,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7402,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2164,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4470,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4031,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5215,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3276,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2724,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7274,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5657,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3931,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2979,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2859,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6773,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
8169,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
4239,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3820,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3872,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
