RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3127,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2419,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2287,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3339,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2354,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3860,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1601,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1103,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2307,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1839,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1870,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
