RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3826,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14561,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
17823,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2627,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3839,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
11860,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
20275,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
6912,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3926,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3838,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5339,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5316,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
22443,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3355,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3327,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4303,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
22691,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5121,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4290,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3242,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2809,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2489,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4389,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14294,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
21655,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
17568,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
6358,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3249,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3956,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
7956,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5147,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4814,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
11170,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4842,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4040,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
7767,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3104,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2956,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3208,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
8777,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2531,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3663,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
20340,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14688,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5654,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2958,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2938,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2773,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5530,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4892,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4963,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5688,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5283,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2895,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
16103,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
