RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1140,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1299,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1925,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2049,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
file,isFamiliar,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_F_Julie_Walters.png,0,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_Sajid_Javid.png,0,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_jeremy_corbyn.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_keir_starmer.png,0,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_Tony_Blair.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_M_Peter_Kay.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_M_Ewan_McGregor.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_M_Jimmy_Carr.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_Gordon_Brown.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_F_nicola_sturge.png,0,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_david_camer.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_F_Dawn_Roma_French.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_Michael_Gove.png,0,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_M_nigel_farage.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_M_Simon_Pegg.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_F_Jennifer_Saunders.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
P_F_Theresa_May.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_M_Michael_McIntyr.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_F_Sarah_Millican.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
E_M_Russell_Howard.png,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
age: 26,gender: Female,handedness: right,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
