RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
5385,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
8096,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2604,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3290,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2672,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3580,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3364,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2079,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4636,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
file,isFamiliar,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_Sajid_Javid(4).png,1,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_Gordon_Brown(19).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_Tony_Blair.png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_F_Sarah_Millican(1).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_M_Jimmy_Carr(5).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_nigel_farage(5).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_F_Jennifer_Saunders.png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_M_Simon_Pegg(8).png,1,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_M_Russell_Howard(10).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_F_Theresa_May(3).png,1,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_keir_starmer(6).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_M_Michael_McIntyr(8).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_F_Dawn_Roma(4).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_jeremy_corbyn(2).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_M_Peter_Kay(3).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_F_Julie_Walters(20).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
E_M_Ewan_McGregor(3).png,1,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_F_nicola_sturge(10).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_Michael_Gove(9).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
P_M_david_camer(14).png,0,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
age: 30,gender: Male,handedness: right,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
